direction,diselPrice,gasolinePrice,lpgPrice,lpgYn,oilCompany,serviceAreaCode,telNo,routeCode,routeName,serviceAreaCode2,serviceAreaName,svarAddr
부산,"1,508원","1,657원",977원,Y,AD,B00124,054-977-6934,0550,중앙선,000252,동명(춘천)주유소,경북 칠곡군 동명면가천리 85-2
춘천,"1,510원","1,697원",977원,Y,AD,B00055,054-854-3324,0550,중앙선,000228,안동(춘천)주유소,경북 안동시 풍산읍계평리 산133-4
춘천,"1,506원","1,668원",977원,Y,AD,B00057,054-383-6117,0550,중앙선,000232,군위(춘천)주유소,대구광역시 군위군 군위읍오곡리 산68-8
춘천,"1,535원","1,695원","1,032원",Y,AD,B00090,033-762-0349,0550,중앙선,000220,치악(춘천)주유소,강원도 원주시 신림면금창리 500
춘천,"1,506원","1,697원",977원,Y,AD,B00092,043-421-1676,0550,중앙선,000222,단양팔경(춘천)주유소,충청북도 단양군 단성면하방리 56
춘천,"1,515원","1,690원","1,050원",Y,AD,B00109,033-435-6751,0550,중앙선,000214,홍천강(춘천)주유소,강원 홍천군 북방면소매곡리(도사곡길) 223
춘천,"1,517원","1,679원",X,N,AD,B00111,033-731-6425,0550,중앙선,000215,원주(춘천)주유소,강원도 원주시 호저면 마근거리길 110 (원주(춘천방향)휴게소)옥산리 219-1
춘천,"1,508원","1,657원",977원,Y,AD,B00123,054-977-6941,0550,중앙선,000251,동명(부산)주유소,경북 칠곡군 동명면가천리 60
서울,"1,509원","1,669원","1,047원",Y,AD,B00207,033-436-7887,0600,서울양양선,000511,홍천(서울)주유소,대전광역시 서구 대덕대로220번길 46(둔산동)
서울,"1,509원","1,669원","1,047원",Y,AD,B00209,033-852-7110,0600,서울양양선,000514,내린천(서울)주유소,강원도 인제군 상남면 서울양양고속도로 117내린천서울주유소
양양,"1,509원","1,669원","1,047원",Y,AD,B00208,033-436-7997,0600,서울양양선,000512,홍천(양양)주유소,대전광역시 서구 대덕대로220번길 46(둔산동)
양양,"1,509원","1,669원","1,047원",Y,AD,B00210,033-852-7220,0600,서울양양선,000515,내린천(양양)주유소,강원 인제군 상남면 서울양양고속도로 117-2상남리(상남로)
동해,"1,517원","1,679원","1,074원",Y,AD,B00018,033-534-6648,0650,동해선,000235,동해(삼척)주유소,강원도 동해시 망상동산5-4
동해,"1,509원","1,699원",X,N,AD,B00127,033-644-8456,0650,동해선,000281,구정(삼척)주유소,강원 강릉시 구정면제비리 888
속초,"1,506원","1,678원","1,025원",Y,AD,B00125,033-534-2100,0650,동해선,000302,옥계(속초)주유소,강원 강릉시 옥계면도직리 산2-2
속초,"1,503원","1,673원",X,N,AD,B00126,033-644-4929,0650,동해선,000310,구정(속초)주유소,강원 강릉시 구정면제비리 608
동해,"1,508원","1,657원",X,N,AD,B00197,,0652,울산포항선,000443,외동(부산)주유소,경북 경주시 외동읍상석길 58-74
속초,"1,508원","1,657원",X,N,AD,B00196,,0652,울산포항선,000442,외동(포항)주유소,경북 경주시 외동읍상석길 58-70
기장,"1,517원","1,675원",X,N,AD,B00216,055-312-2862,1000,수도권제1순환선,000532,시흥하늘(판교)주유소,경기도 시흥시 서울외곽순환고속도로106
진영,"1,517원","1,675원",X,N,AD,B00215,055-312-2864,1000,수도권제1순환선,000531,시흥하늘(일산)주유소,경기도 시흥시 서울외곽순환고속도로105-1
퇴계원,"1,505원","1,648원",X,N,AD,B00205,031-759-0178,1000,수도권제1순환선,000507,성남(구리)주유소,경기도 성남시 수정구 산성대로 41
판교,"1,539원","1,689원",X,N,HD,B00158,031-421-7344,1000,수도권제1순환선,000330,의왕청계(일산)주유소,경기 의왕시 청계동산 8-18
판교,"1,524원","1,694원",X,N,S,B00161,031-795-5870,1000,수도권제1순환선,000337,서하남(판교)주유소,경기 하남시 춘궁동212
판교,"1,505원","1,648원",X,N,AD,B00206,031-555-0740,1000,수도권제1순환선,000508,구리남양주(판교)주유소,경기도 구리시 서울외곽순환고속도로 27 (한국도로공사구리영업소)
냉정,"1,494원","1,668원","1,068원",Y,AD,B00058,055-314-2447,1040,남해제2지선,000237,장유(서부산)주유소,경남 김해시 장유면부곡리 419-2
부산,"1,597원","1,727원",X,N,SK,B00237,051-941-5155,1040,남해제2지선,000593,서부산(순천)주유소,부산 강서구 남해2지선고속도로19(대저2동)
공주,"1,519원","1,699원","1,059원",Y,AD,B00155,041-833-8300,1510,서천공주선,000323,부여백제(서천)주유소,충남 부여군 내산면율암리 134
서천,"1,519원","1,699원","1,059원",Y,AD,B00156,041-834-4600,1510,서천공주선,000322,부여백제(공주)주유소,충남 부여군 내산면서천공주간고속도로 26
논산,"1,504원","1,669원","1,009원",Y,AD,B00032,041-733-7487,2510,호남선의 지선,000241,벌곡(논산)주유소,충남 논산시 벌곡면호남지선 고속도로25
대전,"1,504원","1,669원","1,009원",Y,AD,B00105,041-732-3991,2510,호남선의 지선,000239,벌곡(대전)주유소,충남 논산시 벌곡면양산리 209
마산,"1,498원","1,668원",X,N,AD,B00214,054-932-1200,3010,상주영천선,000523,삼국유사군위(상주)주유소,경상북도 영천시 신녕면 치산효령로 989-23
양평,"1,498원","1,668원",X,N,AD,B00213,054-933-0820,3010,상주영천선,000522,군위영천(영천)주유소,경상북도 영천시 신녕면 치산효령로 865-43
퇴계원,"1,597원","1,747원","1,022원",Y,SK,B00211,031-481-8147,3010,상주영천선,000518,낙동강의성(영천)주유소,경상북도 의성군 단밀면 도안로 757-68
판교,"1,597원","1,747원","1,022원",Y,SK,B00212,031-481-8149,3010,상주영천선,000519,낙동강구미(상주)주유소,경상북도 구미시 도개면 용산3길 132122-65
대구,"1,517원","1,679원","1,038원",Y,AD,B00064,053-614-2508,4510,중부내륙선의 지선,000245,현풍(대구)주유소,대구광역시 달성군 현풍면성하리 716
현풍,"1,514원","1,674원","1,038원",Y,AD,B00065,053-614-2437,4510,중부내륙선의 지선,000246,현풍(창원)주유소,대구광역시 달성군 현풍면 중부내륙지선고속도로 3현풍(현풍)주유소
퇴계원,"1,505원","1,648원",X,N,AD,B00219,031-528-3002,6000,부산외곽순환선,000549,김해금관가야(창원)주유소,경상남도 김해시 대동면 월촌리770
